title,year,n_quotes_measured,circ_sum,circ_top3,circ_max
Uncut Gems,2019,4.0,10.482485711405168,7.760048911455388,10.344995251991222
Up,2009,4.0,15.142461148502452,11.03337573172658,15.137266664613225
Valerian and the City of a Thousand Planets,2017,4.0,10.610069086697326,8.229614796941224,10.407318772389159
Venom,2018,4.0,10.39347761571398,8.46497246662454,10.118639253920785
Venom: Let There Be Carnage,2021,4.0,15.258063080596338,7.750444260752264,15.257712787429051
Waterworld,1995,4.0,6.76849321164863,5.338421755051374,6.42648845745769
Wet Hot American Summer,2001,4.0,13.214222153415514,9.25466468570257,13.208542908506082
Whiplash,2014,4.0,9.063694791634697,6.788836696581061,8.969669103793757
Wish,2023,4.0,8.020270472819238,6.836004416640056,7.359467638255621
Withnail and I,1987,4.0,10.137808404440463,8.912925690775634,9.38437770918244
Wonder Woman,2017,4.0,10.679665280420206,8.850589785547598,10.448743588106625
Wonder Woman 1984,2020,4.0,13.11406907457951,8.951601370323234,13.106236027992704
Wreck-It Ralph,2012,4.0,9.068892008391808,7.7126256834676985,8.299285906897275
X-Men: Apocalypse,2016,4.0,16.070574286521968,14.223647677175622,15.903664164161862
X-Men: Days of Future Past,2014,4.0,16.2129007032072,13.742090827659197,15.903664164161862
X-Men: The Last Stand,2006,4.0,10.23041437631381,9.001662381008343,9.686636660844938
Zootopia,2016,4.0,10.99978048691366,9.698386768339523,9.957075711706057
